"name","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross","type"
"blood red sky",2021,NA,"Action","Horror","Thriller",6.1,"Peter Thorwarth",NA,"Peri Baumeister","Carl Anton Koch"," Alexander Scheer","Kais Setti",21062,121,NA,"movie"
"army of thieves",2021,NA,"Action","Crime","Horror",NA,"Matthias Schweighöfer",NA,"Matthias Schweighöfer","Nathalie Emmanuel"," Ruby O. Fee","Stuart Martin",NA,NA,NA,"movie"
"the last letter from your lover",2021,NA,"Drama","Romance",NA,6.8,"Augustine Frizzell",NA,"Shailene Woodley","Joe Alwyn"," Wendy Nottingham","Felicity Jones",5283,110,NA,"movie"
"gunpowder milkshake",2021,NA,"Action","Adventure","Thriller",6,"Navot Papushado",NA,"Karen Gillan","Lena Headey"," Carla Gugino","Michelle Yeoh",17989,114,NA,"movie"
"fear street: 1994",2021,NA,"Drama","Horror","Mystery",6.2,"Leigh Janiak",NA,"Kiana Madeira","Olivia Scott Welch"," Benjamin Flores Jr.","Julia Rehwald",50148,107,NA,"movie"
"fear street: 1978",2021,NA,"Drama","Horror","Mystery",6.8,"Leigh Janiak",NA,"Sadie Sink","Emily Rudd"," Ryan Simpkins","McCabe Slye",36634,109,NA,"movie"
"fear street: 1666",2021,NA,"Horror","Mystery",NA,6.7,"Leigh Janiak",NA,"Kiana Madeira","Ashley Zukerman"," Gillian Jacobs","Olivia Scott Welch",27447,114,NA,"movie"
"ncis: naval criminal investigative service",2003,NA,"Action","Crime","Drama",7.7,NA,NA,"Mark Harmon","David McCallum"," Sean Murray","Pauley Perrette",125619,60,NA,"movie"
"army of the dead",2021,NA,"Action","Crime","Horror",5.8,"Zack Snyder",NA,"Dave Bautista","Ella Purnell"," Ana de la Reguera","Omari Hardwick",132378,148,NA,"movie"
"365 dni",2020,NA,"Drama","Romance",NA,3.3,"Barbara Bialowas","
Tomasz Mandes
","Anna Maria Sieklucka","Michele Morrone"," Bronislaw Wroclawski","Otar Saralidze",63620,114,NA,"movie"
"legends of tomorrow",2016,NA,"Action","Adventure","Drama",6.8,NA,NA,"Caity Lotz","Amy Louise Pemberton"," Dominic Purcell","Nick Zano",95897,42,NA,"movie"
"le dernier mercenaire",2021,NA,"Action","Comedy",NA,5.4,"David Charhon",NA,"Jean-Claude Van Damme","Alban Ivanov"," Samir Decazza","Assa Sylla",2606,110,NA,"movie"
"resort to love",2021,NA,"Comedy","Romance",NA,5.7,"Steven K. Tsuchida",NA,"Christina Milian","Tymberlee Hill"," Kayne Lee Harrison","Ruth Nadler-Nir",1591,101,NA,"movie"
"a classic horror story",2021,NA,"Drama","Horror","Mystery",5.7,"Roberto De Feo","
Paolo Strippoli
","Matilda Anna Ingrid Lutz","Francesco Russo"," Peppino Mazzotta","Will Merrick",8822,95,NA,"movie"
"the hitman's bodyguard",2017,NA,"Action","Comedy","Crime",6.9,"Patrick Hughes",NA,"Ryan Reynolds","Samuel L. Jackson"," Gary Oldman","Elodie Yung",205979,118,75.47,"movie"
"élite",2018,NA,"Crime","Drama","Thriller",7.5,NA,NA,"Itzan Escamilla","Omar Ayuso"," Miguel Bernardeau","Arón Piper",59730,60,NA,"movie"
"trollhunters: rise of the titans",2021,NA,"Animation","Action","Adventure",6.9,"Johane Matte","
Francisco Ruiz-Velasco","Steve Alterman","Kay Bess"," Brian Blessed","Vic Chao",2353,104,NA,"movie"
"jurassic park",1993,NA,"Action","Adventure","Sci-Fi",8.1,"Steven Spielberg",NA,"Sam Neill","Laura Dern"," Jeff Goldblum","Richard Attenborough",897444,127,402.45,"movie"
"boku no hîrô akademia",2016,NA,"Animation","Action","Adventure",8.4,NA,NA,"Daiki Yamashita","Nobuhiko Okamoto"," Ayane Sakura","Justin Briner",44367,24,NA,"movie"
"don't breathe",2016,NA,"Crime","Horror","Thriller",7.1,"Fede Alvarez",NA,"Stephen Lang","Jane Levy"," Dylan Minnette","Daniel Zovatto",237601,88,89.22,"movie"
"la cocinera de castamar",2021,NA,"Drama",NA,NA,7.4,NA,NA,"Michelle Jenner","Roberto Enríquez"," Hugo Silva","Maxi Iglesias",1336,NA,NA,"movie"
"the lord of the rings: the fellowship of the ring",2001,NA,"Action","Adventure","Drama",8.8,"Peter Jackson",NA,"Elijah Wood","Ian McKellen"," Orlando Bloom","Sean Bean",1713028,178,315.54,"movie"
"escape room",2019,NA,"Action","Adventure","Horror",6.4,"Adam Robitel",NA,"Taylor Russell","Logan Miller"," Jay Ellis","Tyler Labine",99351,99,57.01,"movie"
"jaws",1975,NA,"Adventure","Thriller",NA,8,"Steven Spielberg",NA,"Roy Scheider","Robert Shaw"," Richard Dreyfuss","Lorraine Gary",558731,124,260,"movie"
"the woman in the window",2021,NA,"Crime","Drama","Mystery",5.7,"Joe Wright",NA,"Amy Adams","Gary Oldman"," Anthony Mackie","Fred Hechinger",57048,100,NA,"movie"
"gone girl",2014,NA,"Drama","Mystery","Thriller",8.1,"David Fincher",NA,"Ben Affleck","Rosamund Pike"," Neil Patrick Harris","Tyler Perry",895888,149,167.77,"movie"
"jumanji: welcome to the jungle",2017,NA,"Action","Adventure","Comedy",6.9,"Jake Kasdan",NA,"Dwayne Johnson","Karen Gillan"," Kevin Hart","Jack Black",337900,119,404.52,"movie"
"american psycho",2000,NA,"Comedy","Crime","Drama",7.6,"Mary Harron",NA,"Christian Bale","Justin Theroux"," Josh Lucas","Bill Sage",517014,101,15.07,"movie"
"mayor grom: chumnoy doktor",2021,NA,"Action","Adventure",NA,6.3,"Oleg Trofim",NA,"Tikhon Zhiznevskiy","Lyubov Aksyonova"," Sergei Goroshko","Aleksey Maklakov",8466,136,NA,"movie"
"bo burnham: inside",2021,NA,"Comedy","Drama","Music",8.7,"Bo Burnham",NA,"Bo Burnham","Socko",NA,NA,31108,87,NA,"movie"
"kill bill: vol. 1",2003,NA,"Action","Crime","Drama",8.1,"Quentin Tarantino",NA,"Uma Thurman","David Carradine"," Daryl Hannah","Michael Madsen",1034554,111,70.1,"movie"
"bartkowiak",2021,NA,"Action","Crime","Sport",5,"Daniel Markowicz",NA,"Józef Pawlowski","Zofia Domalik"," Szymon Bobrowski","Bartlomiej Topa",398,91,NA,"movie"
"300",2006,NA,"Action","Drama",NA,7.6,"Zack Snyder",NA,"Gerard Butler","Lena Headey"," David Wenham","Dominic West",751815,117,210.61,"movie"
"spider-man: far from home",2019,NA,"Action","Adventure","Sci-Fi",7.5,"Jon Watts",NA,"Tom Holland","Samuel L. Jackson"," Jake Gyllenhaal","Marisa Tomei",363012,129,390.53,"movie"
"the mitchells vs the machines",2021,NA,"Animation","Adventure","Comedy",7.7,"Michael Rianda","
Jeff Rowe
","Abbi Jacobson","Danny McBride"," Maya Rudolph","Michael Rianda",69482,113,NA,"movie"
"hostage house",2021,NA,"Thriller",NA,NA,3.7,"David Benullo",NA,"Jennifer Taylor","Julia Terranova"," Emily Sweet","Justin C. Schilling",315,85,NA,"movie"
"the hobbit: an unexpected journey",2012,NA,"Adventure","Fantasy",NA,7.8,"Peter Jackson",NA,"Martin Freeman","Ian McKellen"," Richard Armitage","Andy Serkis",774632,169,303,"movie"
"the devil all the time",2020,NA,"Crime","Drama","Thriller",7.1,"Antonio Campos",NA,"Tom Holland","Bill Skarsgård"," Riley Keough","Jason Clarke",108684,138,NA,"movie"
"fast & furious 7",2015,NA,"Action","Adventure","Thriller",7.1,"James Wan",NA,"Vin Diesel","Paul Walker"," Dwayne Johnson","Jason Statham",371194,137,353.01,"movie"
"good on paper",2021,NA,"Comedy","Romance",NA,5.6,"Kimmy Gatewood",NA,"Iliza Shlesinger","Britney Young"," Christopher Nicholas Smith","Adam Lustick",8099,92,NA,"movie"
"haseen dillruba",2021,NA,"Crime","Drama","Mystery",6.9,"Vinil Mathew",NA,"Taapsee Pannu","Vikrant Massey"," Harshvardhan Rane","Aditya Srivastav",18149,135,NA,"movie"
"sicario",2015,NA,"Action","Crime","Drama",7.6,"Denis Villeneuve",NA,"Emily Blunt","Josh Brolin"," Benicio Del Toro","Jon Bernthal",387903,121,46.89,"movie"
"the irishman",2019,NA,"Biography","Crime","Drama",7.8,"Martin Scorsese",NA,"Robert De Niro","Al Pacino"," Joe Pesci","Harvey Keitel",345455,209,7,"movie"
"the lord of the rings: the return of the king",2003,NA,"Action","Adventure","Drama",8.9,"Peter Jackson",NA,"Elijah Wood","Viggo Mortensen"," Ian McKellen","Orlando Bloom",1691777,201,377.85,"movie"
"baby driver",2017,NA,"Action","Crime","Drama",7.6,"Edgar Wright",NA,"Ansel Elgort","Jon Bernthal"," Jon Hamm","Eiza González",468655,113,107.83,"movie"
"jumanji: the next level",2019,NA,"Action","Adventure","Comedy",6.7,"Jake Kasdan",NA,"Dwayne Johnson","Jack Black"," Kevin Hart","Karen Gillan",205638,123,316.83,"movie"
"i care a lot",2020,NA,"Comedy","Crime","Thriller",6.3,"J Blakeson",NA,"Rosamund Pike","Peter Dinklage"," Eiza González","Dianne Wiest",109059,118,NA,"movie"
"love and monsters",2020,NA,"Action","Adventure","Comedy",7,"Michael Matthews",NA,"Dylan O'Brien","Jessica Henwick"," Michael Rooker","Dan Ewing",100693,109,NA,"movie"
"things heard & seen",2021,NA,"Drama","Horror","Mystery",5.3,"Shari Springer Berman","
Robert Pulcini
","Amanda Seyfried","James Norton"," Natalia Dyer","Alex Neustaedter",24250,121,NA,"movie"
"arrival",2016,NA,"Drama","Sci-Fi",NA,7.9,"Denis Villeneuve",NA,"Amy Adams","Jeremy Renner"," Forest Whitaker","Michael Stuhlbarg",623912,116,100.55,"movie"
"grease",1978,NA,"Musical","Romance",NA,7.2,"Randal Kleiser",NA,"John Travolta","Olivia Newton-John"," Stockard Channing","Jeff Conaway",250587,110,188.76,"movie"
"el inocente",2021,NA,"Crime","Drama","Mystery",7.9,NA,NA,"Mario Casas","Xavi Sáez"," Santi Pons","Sam Feuer",19980,467,NA,"movie"
"sing 2",2021,NA,"Animation","Adventure","Comedy",NA,"Garth Jennings",NA,"Matthew McConaughey","Taron Egerton"," Tori Kelly","Reese Witherspoon",NA,NA,NA,"movie"
"the dig",2021,NA,"Biography","Drama","History",7.1,"Simon Stone",NA,"Carey Mulligan","Ralph Fiennes"," Lily James","Johnny Flynn",60598,112,NA,"movie"
"knives out 2",2022,NA,"Comedy","Crime","Drama",NA,"Rian Johnson",NA,"Madelyn Cline","Daniel Craig"," Dave Bautista","Kathryn Hahn",NA,NA,NA,"movie"
"the old guard",2020,NA,"Action","Adventure","Fantasy",6.7,"Gina Prince-Bythewood",NA,"Charlize Theron","KiKi Layne"," Matthias Schoenaerts","Marwan Kenzari",141605,125,NA,"movie"
"venom",2018,NA,"Action","Adventure","Sci-Fi",6.7,"Ruben Fleischer",NA,"Tom Hardy","Michelle Williams"," Riz Ahmed","Scott Haze",390167,112,213.52,"movie"
"don't look up",2021,NA,"Comedy",NA,NA,NA,"Adam McKay",NA,"Timothée Chalamet","Leonardo DiCaprio"," Jennifer Lawrence","Cate Blanchett",NA,145,NA,"movie"
"6 underground",2019,NA,"Action","Thriller",NA,6.1,"Michael Bay",NA,"Ryan Reynolds","Mélanie Laurent"," Manuel Garcia-Rulfo","Ben Hardy",150455,128,NA,"movie"
"the fate of the furious",2017,NA,"Action","Adventure","Crime",6.6,"F. Gary Gray",NA,"Vin Diesel","Jason Statham"," Dwayne Johnson","Michelle Rodriguez",215795,136,226.01,"movie"
"captain america: civil war",2016,NA,"Action","Adventure","Sci-Fi",7.8,"Anthony Russo","
Joe Russo
","Chris Evans","Robert Downey Jr."," Scarlett Johansson","Sebastian Stan",697750,147,408.08,"movie"
"rurôni kenshin: sai shûshô - the beginning",2021,NA,"Action","Adventure","Drama",7.8,"Keishi Ohtomo",NA,"Masanobu Andô","Towa Araki"," Kasumi Arimura","Kentez Asaka",1976,137,NA,"movie"
"sen to chihiro no kamikakushi",2001,NA,"Animation","Adventure","Family",8.6,"Hayao Miyazaki",NA,"Daveigh Chase","Suzanne Pleshette"," Miyu Irino","Rumi Hiiragi",682809,125,10.06,"movie"
"hotel transylvania: transformania",2021,NA,"Animation","Adventure","Comedy",NA,"Derek Drymon","
Jennifer Kluska
","Brian Hull","Andy Samberg"," Selena Gomez","Kathryn Hahn",NA,NA,NA,"movie"
"wish dragon",2021,NA,"Animation","Adventure","Comedy",7.2,"Chris Appelhans",NA,"Will Yun Lee","Constance Wu"," Natasha Liu Bordizzo","John Cho",15262,98,NA,"movie"
"the girl in the spider's web",2018,NA,"Action","Crime","Drama",6.1,"Fede Alvarez",NA,"Claire Foy","Beau Gadsdon"," Sverrir Gudnason","LaKeith Stanfield",43896,115,14.84,"movie"
"kong: skull island",2017,NA,"Action","Adventure","Fantasy",6.6,"Jordan Vogt-Roberts",NA,"Tom Hiddleston","Samuel L. Jackson"," Brie Larson","John C. Reilly",294292,118,168.05,"movie"
"uncut gems",2019,NA,"Crime","Drama","Thriller",7.4,"Benny Safdie","
Josh Safdie
","Adam Sandler","Julia Fox"," Idina Menzel","Mesfin Lamengo",239770,135,NA,"movie"
"the revenant",2015,NA,"Action","Adventure","Drama",8,"Alejandro G. Iñárritu",NA,"Leonardo DiCaprio","Tom Hardy"," Will Poulter","Domhnall Gleeson",732244,156,183.64,"movie"
"polar",2019,NA,"Action","Crime","Drama",6.3,"Jonas Åkerlund",NA,"Mads Mikkelsen","Vanessa Hudgens"," Katheryn Winnick","Fei Ren",80553,118,NA,"movie"
"the lord of the rings: the two towers",2002,NA,"Action","Adventure","Drama",8.7,"Peter Jackson",NA,"Elijah Wood","Ian McKellen"," Viggo Mortensen","Orlando Bloom",1529752,179,342.55,"movie"
"legally blonde",2001,NA,"Comedy","Romance",NA,6.3,"Robert Luketic",NA,"Reese Witherspoon","Luke Wilson"," Selma Blair","Matthew Davis",195752,96,96.52,"movie"
"rust creek",2018,NA,"Crime","Drama","Thriller",5.9,"Jen McGowan",NA,"Hermione Corfield","Jay Paulson"," Sean O'Bryan","Micah Hauptman",9263,108,NA,"movie"
"ocean's eight",2018,NA,"Action","Comedy","Crime",6.3,"Gary Ross",NA,"Sandra Bullock","Cate Blanchett"," Anne Hathaway","Mindy Kaling",197909,110,140.22,"movie"
"america: the motion picture",2021,NA,"Animation","Action","Adventure",5.7,"Matt Thompson",NA,"Channing Tatum","Jason Mantzoukas"," Olivia Munn","Bobby Moynihan",4485,98,NA,"movie"
"pirates of the caribbean: dead men tell no tales",2017,NA,"Action","Adventure","Fantasy",6.5,"Joachim Rønning","
Espen Sandberg
","Johnny Depp","Geoffrey Rush"," Javier Bardem","Orlando Bloom",276173,129,172.56,"movie"
"narcos: méxico",2018,NA,"Crime","Drama",NA,8.4,NA,NA,"Scoot McNairy","Diego Luna"," José María Yazpik","Fermín Martínez",64838,50,NA,"movie"
"2001: a space odyssey",1968,NA,"Adventure","Sci-Fi",NA,8.3,"Stanley Kubrick",NA,"Keir Dullea","Gary Lockwood"," William Sylvester","Daniel Richter",622998,149,56.95,"movie"
"batman v superman: dawn of justice",2016,NA,"Action","Adventure","Sci-Fi",6.4,"Zack Snyder",NA,"Ben Affleck","Henry Cavill"," Amy Adams","Jesse Eisenberg",657423,152,330.36,"movie"
"cider no yô ni kotoba ga wakiagaru",2020,NA,"Animation","Drama","Romance",7,"Kyohei Ishiguro",NA,"Somegorô Ichikawa","Hana Sugisaki"," Kimberley Wong","Victoria Grace",941,87,NA,"movie"
"news of the world",2020,NA,"Action","Adventure","Drama",6.8,"Paul Greengrass",NA,"Tom Hanks","Helena Zengel"," Tom Astor","Travis Johnson",69037,118,NA,"movie"
"mother!",2017,NA,"Drama","Horror","Mystery",6.6,"Darren Aronofsky",NA,"Jennifer Lawrence","Javier Bardem"," Ed Harris","Michelle Pfeiffer",201141,121,17.8,"movie"
"national lampoon's animal house",1978,NA,"Comedy",NA,NA,7.5,"John Landis",NA,"John Belushi","Karen Allen"," Tom Hulce","Stephen Furst",115289,109,0.2,"movie"
"honest thief",2020,NA,"Action","Crime","Drama",6,"Mark Williams",NA,"Liam Neeson","Kate Walsh"," Jai Courtney","Jeffrey Donovan",40186,99,NA,"movie"
"midnight in paris",2011,NA,"Comedy","Fantasy","Romance",7.7,"Woody Allen",NA,"Owen Wilson","Rachel McAdams"," Kathy Bates","Kurt Fuller",399157,94,56.82,"movie"
"kill bill: vol. 2",2004,NA,"Action","Crime","Thriller",8,"Quentin Tarantino",NA,"Uma Thurman","David Carradine"," Michael Madsen","Daryl Hannah",706053,137,66.21,"movie"
"extraction",2020,NA,"Action","Thriller",NA,6.7,"Sam Hargrave",NA,"Chris Hemsworth","Bryon Lerum"," Ryder Lerum","Rudhraksh Jaiswal",174406,116,NA,"movie"
"300: rise of an empire",2014,NA,"Action","Drama",NA,6.2,"Noam Murro",NA,"Sullivan Stapleton","Eva Green"," Lena Headey","Hans Matheson",286734,102,106.58,"movie"
"kimi no na wa.",2016,NA,"Animation","Drama","Fantasy",8.4,"Makoto Shinkai",NA,"Ryûnosuke Kamiki","Mone Kamishiraishi"," Ryô Narita","Aoi Yûki",217433,106,5.02,"movie"
"booksmart",2019,NA,"Comedy",NA,NA,7.2,"Olivia Wilde",NA,"Kaitlyn Dever","Beanie Feldstein"," Jessica Williams","Jason Sudeikis",103143,102,22.68,"movie"
"the water man",2020,NA,"Adventure","Drama","Family",5.3,"David Oyelowo",NA,"Rosario Dawson","Maria Bello"," Alfred Molina","David Oyelowo",1978,91,NA,"movie"
"oxygène",2021,NA,"Drama","Fantasy","Sci-Fi",6.5,"Alexandre Aja",NA,"Mélanie Laurent","Mathieu Amalric"," Malik Zidi","Laura Boujenah",27918,100,NA,"movie"
"jaws 2",1978,NA,"Adventure","Horror","Thriller",5.8,"Jeannot Szwarc",NA,"Roy Scheider","Lorraine Gary"," Murray Hamilton","Joseph Mascolo",73931,116,102.92,"movie"
"enola holmes",2020,NA,"Action","Adventure","Crime",6.6,"Harry Bradbeer",NA,"Millie Bobby Brown","Henry Cavill"," Sam Claflin","Helena Bonham Carter",145206,123,NA,"movie"
"rurôni kenshin: sai shûshô - the final",2021,NA,"Action","Adventure","Drama",7.2,"Keishi Ohtomo",NA,"Takeru Satoh","Shin'nosuke Abe"," Yû Aoi","Munetaka Aoki",4682,138,NA,"movie"
"tropic thunder",2008,NA,"Action","Comedy","War",7,"Ben Stiller",NA,"Ben Stiller","Jack Black"," Robert Downey Jr.","Jeff Kahn",391033,107,110.52,"movie"
"spirit untamed",2021,NA,"Animation","Adventure","Family",5.4,"Elaine Bogan","
Ennio Torresan
","Isabela Merced","Marsai Martin"," Mckenna Grace","Walton Goggins",1741,88,NA,"movie"
"bird box",2018,NA,"Horror","Sci-Fi",NA,6.6,"Susanne Bier",NA,"Sandra Bullock","Trevante Rhodes"," John Malkovich","Sarah Paulson",297927,124,NA,"movie"
"hell or high water",2016,NA,"Action","Crime","Drama",7.6,"David Mackenzie",NA,"Chris Pine","Ben Foster"," Jeff Bridges","Gil Birmingham",211816,102,26.86,"movie"
"the babysitter",2017,NA,"Comedy","Horror",NA,6.3,"McG",NA,"Judah Lewis","Samara Weaving"," Robbie Amell","Hana Mae Lee",79593,85,NA,"movie"
"marriage story",2019,NA,"Comedy","Drama","Romance",7.9,"Noah Baumbach",NA,"Adam Driver","Scarlett Johansson"," Julia Greer","Azhy Robertson",266307,137,2,"movie"
"el camino: a breaking bad movie",2019,NA,"Action","Crime","Drama",7.3,"Vince Gilligan",NA,"Aaron Paul","Jonathan Banks"," Matt Jones","Charles Baker",200029,122,NA,"movie"
"wind river",2017,NA,"Crime","Drama","Mystery",7.7,"Taylor Sheridan",NA,"Elizabeth Olsen","Jeremy Renner"," Graham Greene","Kelsey Asbille",218337,107,33.8,"movie"
"frozen",2013,NA,"Animation","Adventure","Comedy",7.4,"Chris Buck","
Jennifer Lee
","Kristen Bell","Idina Menzel"," Jonathan Groff","Josh Gad",586769,102,400.74,"movie"
"spenser confidential",2020,NA,"Action","Comedy","Crime",6.2,"Peter Berg",NA,"Mark Wahlberg","Winston Duke"," Alan Arkin","Iliza Shlesinger",77727,111,NA,"movie"
"lo imposible",2012,NA,"Drama","History","Thriller",7.6,"J.A. Bayona",NA,"Naomi Watts","Ewan McGregor"," Tom Holland","Oaklee Pendergast",208903,114,19.02,"movie"
"the trial of the chicago 7",2020,NA,"Drama","History","Thriller",7.8,"Aaron Sorkin",NA,"Eddie Redmayne","Alex Sharp"," Sacha Baron Cohen","Jeremy Strong",153211,129,NA,"movie"
"comment je suis devenu super-héros",2020,NA,"Action","Adventure","Comedy",5.8,"Douglas Attal",NA,"Pio Marmaï","Vimala Pons"," Benoît Poelvoorde","Leïla Bekhti",3214,97,NA,"movie"
"stowaway",2021,NA,"Drama","Sci-Fi","Thriller",5.6,"Joe Penna",NA,"Anna Kendrick","Daniel Dae Kim"," Shamier Anderson","Toni Collette",36937,116,NA,"movie"
"the nice guys",2016,NA,"Action","Comedy","Crime",7.4,"Shane Black",NA,"Russell Crowe","Ryan Gosling"," Angourie Rice","Matt Bomer",295435,116,36.26,"movie"
"moonrise kingdom",2012,NA,"Comedy","Drama","Romance",7.8,"Wes Anderson",NA,"Jared Gilman","Kara Hayward"," Bruce Willis","Bill Murray",328550,94,45.51,"movie"
"contagion",2011,NA,"Drama","Thriller",NA,6.7,"Steven Soderbergh",NA,"Matt Damon","Kate Winslet"," Jude Law","Gwyneth Paltrow",290444,106,75.66,"movie"
"this is england",2006,NA,"Crime","Drama",NA,7.7,"Shane Meadows",NA,"Thomas Turgoose","Stephen Graham"," Jo Hartley","Andrew Shim",117889,101,0.33,"movie"
"el hoyo",2019,NA,"Horror","Sci-Fi","Thriller",7,"Galder Gaztelu-Urrutia",NA,"Ivan Massagué","Zorion Eguileor"," Antonia San Juan","Emilio Buale",183495,94,NA,"movie"
"i'm thinking of ending things",2020,NA,"Drama","Thriller",NA,6.6,"Charlie Kaufman",NA,"Jesse Plemons","Jessie Buckley"," Toni Collette","David Thewlis",71640,134,NA,"movie"
"willy wonka & the chocolate factory",1971,NA,"Family","Fantasy","Musical",7.8,"Mel Stuart",NA,"Gene Wilder","Jack Albertson"," Peter Ostrum","Roy Kinnear",186202,100,4,"movie"
"the power of the dog",2021,NA,"Drama","Romance","Western",NA,"Jane Campion",NA,"Thomasin McKenzie","Jesse Plemons"," Kirsten Dunst","Benedict Cumberbatch",NA,125,NA,"movie"
"dead poets society",1989,NA,"Comedy","Drama",NA,8.1,"Peter Weir",NA,"Robin Williams","Robert Sean Leonard"," Ethan Hawke","Josh Charles",443357,128,95.86,"movie"
"contratiempo",2016,NA,"Crime","Drama","Mystery",8.1,"Oriol Paulo",NA,"Mario Casas","Ana Wagener"," Jose Coronado","Bárbara Lennie",157061,106,NA,"movie"
"there's something about mary",1998,NA,"Comedy","Romance",NA,7.1,"Bobby Farrelly","
Peter Farrelly
","Cameron Diaz","Matt Dillon"," Ben Stiller","Lee Evans",298729,119,176.48,"movie"
"binsenjo",2021,NA,"Comedy","Crime","Romance",8.5,NA,NA,"Song Joong-ki","Jeon Yeo-bin"," Taecyeon","Im Chul-soo",7888,80,NA,"movie"
"lucy",2014,NA,"Action","Sci-Fi","Thriller",6.4,"Luc Besson",NA,"Scarlett Johansson","Morgan Freeman"," Choi Min-sik","Amr Waked",462122,89,126.66,"movie"
"the mummy",2017,NA,"Action","Adventure","Fantasy",5.4,"Alex Kurtzman",NA,"Tom Cruise","Sofia Boutella"," Annabelle Wallis","Russell Crowe",177592,110,80.1,"movie"
"birdman or (the unexpected virtue of ignorance)",2014,NA,"Comedy","Drama",NA,7.7,"Alejandro G. Iñárritu",NA,"Michael Keaton","Zach Galifianakis"," Edward Norton","Andrea Riseborough",595946,119,42.34,"movie"
"knock knock",2015,NA,"Drama","Thriller",NA,4.9,"Eli Roth",NA,"Keanu Reeves","Lorenza Izzo"," Ana de Armas","Aaron Burns",87474,99,0.04,"movie"
"hauru no ugoku shiro",2004,NA,"Animation","Adventure","Family",8.2,"Hayao Miyazaki",NA,"Chieko Baishô","Takuya Kimura"," Tatsuya Gashûin","Akihiro Miwa",351466,119,4.71,"movie"
"now you see me",2013,NA,"Crime","Mystery","Thriller",7.2,"Louis Leterrier",NA,"Jesse Eisenberg","Common"," Mark Ruffalo","Woody Harrelson",614056,115,117.72,"movie"
"the ballad of buster scruggs",2018,NA,"Comedy","Drama","Musical",7.3,"Ethan Coen","
Joel Coen
","Tim Blake Nelson","Willie Watson"," Clancy Brown","Danny McCarthy",130664,133,NA,"movie"
"the lost world: jurassic park",1997,NA,"Action","Adventure","Sci-Fi",6.6,"Steven Spielberg",NA,"Jeff Goldblum","Julianne Moore"," Pete Postlethwaite","Vince Vaughn",390425,129,229.09,"movie"
"vanquish",2021,NA,"Action","Crime","Thriller",2.7,"George Gallo",NA,"Morgan Freeman","Ruby Rose"," Patrick Muldoon","Nick Vallelonga",3010,94,NA,"movie"
"geostorm",2017,NA,"Action","Sci-Fi","Thriller",5.3,"Dean Devlin",NA,"Gerard Butler","Jim Sturgess"," Abbie Cornish","Alexandra Maria Lara",99724,109,33.7,"movie"
"rojst",2018,NA,"Crime","Drama","Thriller",7,NA,NA,"Dawid Ogrodnik","Zofia Wichlacz"," Andrzej Seweryn","Agnieszka Zulewska",3471,50,NA,"movie"
"sausage party",2016,NA,"Animation","Adventure","Comedy",6.1,"Greg Tiernan","
Conrad Vernon
","Seth Rogen","Kristen Wiig"," Jonah Hill","Alistair Abell",181775,89,97.69,"movie"
"a futile and stupid gesture",2018,NA,"Biography","Comedy",NA,6.8,"David Wain",NA,"Frank Gingerich","Morgan Gingerich"," Annette O'Toole","Harry Groener",14676,101,NA,"movie"
"eurovision song contest: the story of fire saga",2020,NA,"Comedy","Music",NA,6.5,"David Dobkin",NA,"Will Ferrell","Rachel McAdams"," Dan Stevens","Mikael Persbrandt",84242,123,NA,"movie"
"the next three days",2010,NA,"Action","Crime","Drama",7.3,"Paul Haggis",NA,"Russell Crowe","Elizabeth Banks"," Liam Neeson","Michael Buie",189815,133,21.15,"movie"
"in the heart of the sea",2015,NA,"Action","Adventure","Biography",6.9,"Ron Howard",NA,"Chris Hemsworth","Cillian Murphy"," Brendan Gleeson","Ben Whishaw",128605,122,25.02,"movie"
"the babysitter: killer queen",2020,NA,"Comedy","Horror",NA,5.8,"McG",NA,"Judah Lewis","Samara Weaving"," Jenna Ortega","Emily Alyn Lind",31220,101,NA,"movie"
"the kissing booth",2018,NA,"Comedy","Romance",NA,6,"Vince Marcello",NA,"Joey King","Jacob Elordi"," Joel Courtney","Megan du Plessis",72207,105,NA,"movie"
"vivo",2021,NA,"Animation","Adventure","Comedy",7.3,"Kirk DeMicco","
Brandon Jeffords
","Lin-Manuel Miranda","Ynairaly Simo"," Zoe Saldana","Juan de Marcos González",27,95,NA,"movie"
"gods of egypt",2016,NA,"Action","Adventure","Fantasy",5.4,"Alex Proyas",NA,"Brenton Thwaites","Nikolaj Coster-Waldau"," Gerard Butler","Chadwick Boseman",109959,127,31.15,"movie"
"mank",2020,NA,"Biography","Comedy","Drama",6.9,"David Fincher",NA,"Gary Oldman","Amanda Seyfried"," Lily Collins","Tom Pelphrey",63893,131,NA,"movie"
"¿quién mató a sara?",2021,NA,"Crime","Drama","Mystery",6.4,NA,NA,"Manolo Cardona","Ginés García Millán"," Carolina Miranda","Eugenio Siller",10387,NA,NA,"movie"
"x-ray: selected satyajit shorts",2021,NA,"Crime","Drama","Thriller",7.2,NA,NA,"Manoj Bajpayee","Ali Fazal"," Harshvardhan Kapoor","Kay Kay Menon",7023,65,NA,"movie"
"the dirt",2019,NA,"Biography","Comedy","Drama",7,"Jeff Tremaine",NA,"Douglas Booth","Iwan Rheon"," Machine Gun Kelly","Daniel Webber",43022,107,NA,"movie"
